Lead_Name,Business_Type,Lead_Score,Template_Assigned,Date_Assigned
Wingstop Singapore,Cafe,100,A,2026-03-04
Parkway Shenton,GP_Clinic,100,B,2026-03-04
Pacific Healthcare,Physiotherapy,100,C,2026-03-04
Nando's Singapore,Restaurant,100,D,2026-03-04
Family Medicine Clinic,Aesthetics,40,A,2026-03-04
TP Dental Surgeons,GP_Clinic,100,B,2026-03-04
Tim Ho Wan,Restaurant,100,C,2026-03-04
Hawker Chan,Restaurant,95,D,2026-03-04
Acumed Medical,Dental,100,A,2026-03-04
The Kitchen @ Bacchanalia,Restaurant,45,B,2026-03-04
Singapore Medical Group,Aesthetics,100,C,2026-03-04
Northeast Medical Group,Aesthetics,100,D,2026-03-04
Raffles Medical Group,Aesthetics,100,A,2026-03-04
Din Tai Fung,Restaurant,100,B,2026-03-04
Violet Oon,Restaurant,90,C,2026-03-04
Shake Shack,Restaurant,95,D,2026-03-04
Dr. Tan & Partners,Physiotherapy,100,A,2026-03-04
Imperial Treasure,Cafe,100,B,2026-03-04
Paradise Dynasty,Restaurant,100,C,2026-03-04
The Dermatology Practice,Physiotherapy,45,D,2026-03-04
Lau Pa Sat,Restaurant,45,A,2026-03-04
Burnt Ends,Restaurant,45,B,2026-03-04
Orchard Clinic,Specialist,45,C,2026-03-04
Q&M Dental Group,TCM,100,D,2026-03-04
